	hidden_dim	lr	epochs	layers	dropout	k_neighbors	k_test_neighbors
0	256	0.0010	2000	3	0.3	15	5
1	128	0.0005	1500	2	0.2	10	5
2	512	0.0003	2500	4	0.4	20	10
3	384	0.0007	1800	5	0.5	12	6
4	256	0.0002	3000	3	0.6	25	8
5	1024	0.0001	3500	4	0.3	30	10
6	128	0.0015	1200	2	0.1	10	3
7	768	0.0008	2200	5	0.4	18	7
8	768	0.0002	3000	4	0.35	25	10
9	512	0.00025	2800	5	0.4	22	9
10	1024	0.00015	3600	4	0.25	30	10
11	896	0.0001	4000	5	0.3	28	10
12	640	0.0003	2700	4	0.38	20	8
13	512	0.0002	2500	3	0.4	18	10
14	1024	0.00012	3400	5	0.28	32	12
15	768	0.00018	3100	4	0.33	26	9
